x,y,label,gene,gene symbol,highest_level_path
3.6230755351501465,4.1475683353962385,Unlabelled,PAX6,PAX6,Metabolism of proteins
4.067529970403999,3.923593064214689,Unlabelled,Unlabelled,,Unlabelled
-0.603127519212455,-1.8510862245292208,Gene expression (Transcription),THOC6,THOC6,Gene expression (Transcription)
0.7559450070184344,-2.945413200316189,Gene expression (Transcription),Unlabelled,,Gene expression (Transcription)
-6.32852002495761,6.136928368529485,Unlabelled,TANC2,TANC2,unlabeled
-0.5254873188510203,-9.294515482003163,Unlabelled,FGF14,FGF14,Muscle contraction
-0.1449153958115676,-8.810422264694623,Unlabelled,Unlabelled,,Unlabelled
1.0974310879760747,-2.642347200386598,Gene expression (Transcription),MECP2,MECP2,Disease
-7.893832376504751,-2.22720179862349,Post-translational protein modification,RAD21,RAD21,Signal Transduction
-7.0837030612969825,-2.484011510789803,Post-translational protein modification,Unlabelled,,Post-translational protein modification
-6.892066713089575,-3.581984529054703,Post-translational protein modification,ST3GAL5,ST3GAL5,Metabolism
-9.046273272671996,2.3009917896305474,Organelle biogenesis and maintenance,IFT172,IFT172,Signal Transduction
-8.92870522375215,1.6515828536249764,Organelle biogenesis and maintenance,Unlabelled,,Organelle biogenesis and maintenance
1.728484574500735,0.6571736862037962,Cytokine Signaling in Immune system,EDAR,EDAR,Immune System
1.613934971633693,1.3728849196017112,Cytokine Signaling in Immune system,Unlabelled,,Cytokine Signaling in Immune system
8.290000597516574,-5.193750614833925,Unlabelled,DNM1L,DNM1L,Programmed Cell Death
8.17969890966054,-4.866938972432284,Unlabelled,Unlabelled,,Unlabelled
-2.6981486860433463,-0.1074465183256254,Cellular responses to stimuli,LMNA,LMNA,Disease
-2.975532144879306,-0.6121791656000202,Cellular responses to stimuli,Unlabelled,,Cellular responses to stimuli
2.192665041849571,-9.062778519862844,Metabolism of amino acids and derivatives,IVD,IVD,Metabolism
2.642716250421838,-8.222441467588139,Metabolism of amino acids and derivatives,Unlabelled,,Metabolism of amino acids and derivatives
0.8168397819674578,-3.625141823430388,Gene expression (Transcription),ELAC2,ELAC2,Gene expression (Transcription)
-4.088313184076582,9.016356478184475,Unlabelled,CCDC65,CCDC65,unlabeled
-0.6335760902902337,-1.5777492411470675,Gene expression (Transcription),HSPD1,HSPD1,Metabolism of proteins
-3.264532689152007,-3.165837791410798,Unlabelled,HNF1B,HNF1B,Developmental Biology
-3.4671270705581723,-3.566954014758247,Unlabelled,Unlabelled,,Unlabelled
-2.683790427421161,5.591728466924435,Metabolism of lipids,PIK3R1,PIK3R1,Metabolism
-2.009805944918261,5.887517473582429,Metabolism of lipids,Unlabelled,,Metabolism of lipids
8.303638036407875,-5.50211451438219,Unlabelled,CDKL5,CDKL5,unlabeled
-2.6452049494591634,5.122852057168124,Metabolism of lipids,PLA2G6,PLA2G6,Metabolism
-3.7655015637458913,-5.77200728392314,Metabolism of carbohydrates,PRPS1,PRPS1,Metabolism
-3.361438673890662,-5.40485845190192,Metabolism of carbohydrates,Unlabelled,,Metabolism of carbohydrates
0.3469128215618173,-7.020351451255452,Unlabelled,SUFU,SUFU,Signal Transduction
0.4650379478270423,-7.441955338449541,Unlabelled,Unlabelled,,Unlabelled
-4.62702472480257,7.158032257820345,Unlabelled,LTBP2,LTBP2,Signal Transduction
-4.547395851608651,7.808654654399106,Unlabelled,Unlabelled,,Unlabelled
-4.598716768227317,5.986002383995494,Unlabelled,MTHFR,MTHFR,Metabolism
-5.011732973848591,5.808424264573338,Unlabelled,Unlabelled,,Unlabelled
2.126966466093144,-2.699700981842433,Gene expression (Transcription),MTOR,MTOR,Signal Transduction
-6.067303890306367,-3.641061696604425,Post-translational protein modification,AIRE,AIRE,Immune System
-8.91897893683134,0.7240025916310877,Organelle biogenesis and maintenance,MKKS,MKKS,Organelle biogenesis and maintenance
-0.3457321641290463,-1.783478479460193,Gene expression (Transcription),COL1A1,COL1A1,Signal Transduction
3.5216765045095695,-8.964469396177725,Metabolism of amino acids and derivatives,BCKDHA,BCKDHA,Metabolism
-6.829123068122085,7.004302569055312,Unlabelled,SRCAP,SRCAP,unlabeled
-0.7442643507694697,-6.7709316715933525,Neuronal System,NRXN3,NRXN3,Neuronal System
-1.2228104734830314,-7.258216073526201,Neuronal System,Unlabelled,,Neuronal System
0.4391764899806176,-2.6290911306154925,Gene expression (Transcription),NEDD4L,NEDD4L,Signal Transduction
-4.933299995002348,2.960373173877418,Vesicle-mediated transport,COL4A1,COL4A1,Signal Transduction
-4.399316250924424,2.9071333280961653,Vesicle-mediated transport,Unlabelled,,Vesicle-mediated transport
4.116732917362217,6.926220726209234,Metabolism of RNA,SET,SET,Metabolism of RNA
3.4820737618426545,6.24241096160398,Metabolism of RNA,Unlabelled,,Metabolism of RNA
-0.2547809119753985,-7.451054565067195,Neuronal System,SHANK1,SHANK1,Neuronal System
-6.8549215582069944,-3.9169436191222857,Post-translational protein modification,ASXL2,ASXL2,Metabolism of proteins
-5.6678798889494795,-7.192433761577966,Unlabelled,CDH23,CDH23,Sensory Perception
-5.512337432304678,-6.801684058414556,Unlabelled,Unlabelled,,Unlabelled
4.106159910770673,-1.6576925512635086,Unlabelled,BCOR,BCOR,unlabeled
2.407278665424183,-7.2338016309252735,Metabolism of amino acids and derivatives,OTC,OTC,Metabolism
0.2097119224289318,3.042669176074229,Aerobic respiration and respiratory electron transport,TACO1,TACO1,Metabolism
-0.1346771939698179,3.278478580799753,Aerobic respiration and respiratory electron transport,Unlabelled,,Aerobic respiration and respiratory electron transport
-2.3874242416574845,3.1575474233748757,Unlabelled,RMRP,RMRP,unlabeled
-5.435167832325842,0.4318574520841896,Unlabelled,IARS2,IARS2,Metabolism of proteins
-4.966940629482783,0.8856615029692971,Unlabelled,Unlabelled,,Unlabelled
-6.2332102443413655,-3.072459861714393,Post-translational protein modification,POMK,POMK,Metabolism of proteins
-3.1780093222995953,1.686573180238044,Unlabelled,RAD51C,RAD51C,Disease
-2.7501159463414915,1.5803074419345349,Unlabelled,Unlabelled,,Unlabelled
7.275914365884365,-5.765005468707069,Unlabelled,NODAL,NODAL,Developmental Biology
7.212006311193264,-6.129161446374514,Unlabelled,Unlabelled,,Unlabelled
-8.382271426220152,-1.5643971145339268,Post-translational protein modification,TGFBR2,TGFBR2,Signal Transduction
6.7454403304383845,-6.866539572213442,Unlabelled,UFM1,UFM1,unlabeled
-1.730121190765059,3.5898010452024725,Unlabelled,UFC1,,Unlabelled
-1.7444846678361436,-7.725857400979498,Neuronal System,KCNQ1,KCNQ1,Neuronal System
1.1343686943170503,-3.7294421775858297,Gene expression (Transcription),GLI3,GLI3,Signal Transduction
-0.3130452359745916,1.2567654090345766,Unlabelled,SALL4,SALL4,Signal Transduction
-0.6403751630598151,1.06136968238701,Unlabelled,Unlabelled,,Unlabelled
1.2587446601628116,2.519067007689763,Unlabelled,ROGDI,ROGDI,unlabeled
8.4992248159352,2.2111368239753375,Unlabelled,NF1,NF1,Signal Transduction
8.556365788657093,1.8579700766295204,Unlabelled,Unlabelled,,Unlabelled
-8.293746751588351,-2.2299615344789547,Post-translational protein modification,OTUD5,OTUD5,Immune System
0.1251605399885935,-2.4343315630426368,Gene expression (Transcription),NOTCH2,NOTCH2,Signal Transduction
-7.50656813926477,-1.9060738137366824,Post-translational protein modification,TUSC3,TUSC3,Disease
-3.3439367972620584,-2.237140499607346,Unlabelled,LMOD3,LMOD3,unlabeled
0.4387774049295529,-3.1713175880078897,Gene expression (Transcription),RUNX2,RUNX2,Gene expression (Transcription)
1.5355507788044598,2.094214988984364,Cytokine Signaling in Immune system,FLNA,FLNA,Signal Transduction
-4.726057603959789,4.894072460529024,Unlabelled,COQ4,COQ4,Metabolism
0.3607238260534053,3.298175174256748,Aerobic respiration and respiratory electron transport,NUBPL,NUBPL,Metabolism
9.45045994183301,-2.394361931434772,Unlabelled,DCX,DCX,Developmental Biology
8.634370535867053,-2.3604864346627954,Unlabelled,Unlabelled,,Unlabelled
